index,name,latitude,longitude,Humidity,Temperature_avg,Temperature_min,Temperature_max,Temperature_perceived,Wind_speed,Cloudiness,Precipitation_prob
0,Mont Saint Michel,48.6359541,-1.511459954959514,59,20.2,12.62,20.2,19.82,7.29,77,100
1,St Malo,48.649518,-2.0260409,62,18.65,13.05,18.97,18.19,7.5,76,100
2,Bayeux,49.2764624,-0.7024738,52,19.83,11.85,19.86,19.23,4.64,84,100
3,Le Havre,49.4938975,0.1079732,67,17.27,12.67,17.59,16.8,6.49,82,100
4,Rouen,49.4404591,1.0939658,56,21.58,13.61,23.26,21.26,5.51,40,97
5,Paris,48.8534951,2.3483915,47,24.05,15.37,25.91,23.74,3.48,14,20
6,Amiens,49.8941708,2.2956951,61,20.14,12.94,21.96,19.8,3.85,47,0
7,Lille,50.6365654,3.0635282,54,20.53,13.28,22.9,20.05,4.57,26,0
8,Strasbourg,48.584614,7.7507127,71,24.2,20.1,25.21,24.53,2.05,74,100
9,Chateau du Haut Koenigsbourg,48.249410749999996,7.344320233724503,76,21.59,16.79,22.38,21.79,1.54,8,100
10,Colmar,48.0777517,7.3579641,74,24.44,19.41,24.75,24.87,2.27,14,100
11,Eguisheim,48.0447968,7.3079618,74,24.16,19.09,24.51,24.56,2.35,38,100
12,Besancon,47.2380222,6.0243622,65,25.52,18.86,26.55,25.82,3.0,79,100
13,Dijon,47.3215806,5.0414701,69,24.64,18.43,24.9,24.96,2.16,29,100
14,Annecy,45.8992348,6.1288847,57,28.07,18.89,30.22,29.22,4.13,9,33
15,Grenoble,45.1875602,5.7357819,53,30.81,19.5,33.33,32.89,3.36,4,100
16,Lyon,45.7578137,4.8320114,58,27.62,19.72,30.75,28.72,3.22,29,100
17,Gorges du Verdon,43.7496562,6.3285616,36,29.01,16.04,31.98,28.28,5.12,1,0
18,Bormes les Mimosas,43.1506968,6.3419285,58,27.96,19.55,28.96,29.18,4.62,1,0
19,Cassis,43.2140359,5.5396318,52,28.73,20.27,28.77,29.55,3.74,1,0
20,Marseille,43.2961743,5.3699525,50,29.4,21.04,29.4,30.19,4.39,1,0
21,Aix en Provence,43.5298424,5.4474738,33,33.14,19.68,35.27,32.65,5.54,4,0
22,Avignon,43.9492493,4.8059012,36,32.7,20.48,37.23,32.56,6.34,0,32
23,Uzes,44.0121279,4.4196718,37,32.27,20.19,36.22,32.14,6.38,0,90
24,Nimes,43.8374249,4.3600687,33,33.61,20.53,36.76,33.29,6.32,0,97
25,Aigues Mortes,43.5661521,4.19154,55,28.53,20.72,29.48,29.63,5.7,1,100
26,Saintes Maries de la mer,43.4515922,4.4277202,62,26.43,21.5,27.2,26.43,6.2,2,76
27,Collioure,42.52505,3.0831554,52,30.55,23.35,32.12,32.26,5.68,3,0
28,Carcassonne,43.2130358,2.3491069,37,33.15,21.14,35.31,33.39,6.35,0,100
29,Ariege,42.9455368,1.4065544156065486,46,26.38,16.57,29.4,26.38,2.75,0,100
30,Toulouse,43.6044622,1.4442469,51,30.1,19.01,33.68,31.36,7.72,1,100
31,Montauban,44.0175835,1.3549991,62,27.7,18.85,30.34,29.22,13.67,14,100
32,Biarritz,43.471143749999996,-1.552726590666314,89,22.41,20.0,22.58,23.03,3.89,80,100
33,Bayonne,43.4945144,-1.4736657,85,23.42,20.35,24.57,24.04,4.11,90,100
34,La Rochelle,46.1591126,-1.1520434,73,21.89,18.04,21.89,22.04,5.88,50,90
