id,name,latitude,longitude,Temperature,Temperature_avg,Temperature_max,Temperature_min,Humidity,Wind_speed,Cloudiness,rank_weather,Cloudiness_adjusted
9,Chateau du Haut Koenigsbourg,48.2493154,7.3429403075238096,11.13,12.29,14.25,4.96,58.0,2.57,75.0,1,75.1
6,Amiens,49.8941708,2.2956951,14.51,14.64,15.74,6.05,70.0,2.69,42.0,2,42.1
4,Rouen,49.4404591,1.0939658,12.17,13.41,16.13,6.29,82.0,3.6,75.0,3,75.1
2,Bayeux,49.2764624,-0.7024738,15.14,14.43,15.14,6.86,71.0,5.64,8.0,4,8.1
13,Dijon,47.3215806,5.0414701,14.8,15.2,17.4,6.98,58.0,4.12,100.0,5,100.1
7,Lille,50.6365654,3.0635282,15.48,15.14,15.68,7.0,47.0,2.57,40.0,6,40.1
8,Strasbourg,48.584614,7.7507127,15.77,15.2,16.75,7.59,48.0,2.57,75.0,7,75.1
29,Ariege,42.9455368,1.4065544156065486,10.67,10.81,13.13,7.86,92.0,1.24,100.0,8,100.1
0,Mont Saint Michel,48.6359541,-1.511459954959514,15.17,15.55,15.55,7.96,73.0,2.24,2.0,9,2.1
11,Eguisheim,48.0447968,7.3079618,14.2,14.66,15.2,8.12,60.0,2.57,75.0,10,75.1
10,Colmar,48.0777517,7.3579641,14.47,14.99,15.87,8.23,60.0,2.57,75.0,11,75.1
17,Gorges du Verdon,43.7496562,6.3285616,19.88,19.84,21.57,8.47,47.0,3.68,22.0,12,22.1
12,Besancon,47.2380222,6.0243622,15.67,15.93,17.48,8.77,59.0,2.88,99.0,13,99.1
14,Annecy,45.8992348,6.1288847,18.84,17.32,18.84,8.78,55.0,1.03,75.0,14,75.1
5,Paris,48.8588897,2.3200410217200766,15.87,16.56,16.96,9.57,57.0,2.06,0.0,15,0.1
31,Montauban,44.0175835,1.3549991,16.14,16.75,19.93,10.06,80.0,2.28,100.0,16,100.1
15,Grenoble,45.1875602,5.7357819,17.08,16.58,18.42,10.98,88.0,1.71,100.0,17,100.1
30,Toulouse,43.6044622,1.4442469,17.97,17.52,20.03,12.33,68.0,3.6,100.0,18,100.1
16,Lyon,45.7578137,4.8320114,16.83,17.3,19.54,12.39,64.0,4.12,75.0,19,75.1
3,Le Havre,49.4938975,0.1079732,14.51,14.15,14.51,12.6,77.0,6.17,20.0,20,20.1
34,La Rochelle,46.1591126,-1.1520434,18.05,17.61,18.05,12.98,59.0,4.12,0.0,21,0.1
23,Uzes,44.0121279,4.4196718,21.74,22.24,23.27,13.07,48.0,5.15,48.0,22,48.1
28,Carcassonne,43.2130358,2.3491069,19.53,19.69,21.88,13.47,63.0,6.69,75.0,23,75.1
1,St Malo,49.314695,-96.9538228,14.35,14.57,19.61,13.56,94.0,9.27,95.0,24,95.1
33,Bayonne,43.4945144,-1.4736657,15.72,16.63,17.57,14.37,100.0,4.12,75.0,25,75.1
32,Biarritz,43.471143749999996,-1.552726590666314,15.34,16.4,17.21,14.97,100.0,4.12,75.0,26,75.1
24,Nimes,43.8374249,4.3600687,22.23,23.25,25.1,15.09,49.0,4.63,0.0,27,0.1
27,Collioure,42.52505,3.0831554,15.69,16.33,19.71,15.47,82.0,4.59,100.0,28,100.1
21,Aix en Provence,43.5298424,5.4474738,22.35,22.31,23.8,15.57,48.0,2.24,77.0,29,77.1
22,Avignon,43.9492493,4.8059012,22.26,22.14,23.41,15.87,53.0,9.26,0.0,30,0.1
26,Saintes Maries de la mer,43.4515922,4.4277202,22.7,22.22,22.72,16.55,58.0,4.18,22.0,31,22.1
25,Aigues Mortes,43.5661521,4.19154,22.88,22.93,24.51,16.74,38.0,6.69,0.0,32,0.1
18,Bormes les Mimosas,43.1506968,6.3419285,24.4,24.23,24.62,17.41,39.0,6.17,0.0,33,0.1
19,Cassis,43.2140359,5.5396318,22.53,21.97,22.53,17.64,43.0,11.67,96.0,34,96.1
20,Marseille,43.2961743,5.3699525,23.44,22.78,23.44,18.57,44.0,10.29,100.0,35,100.1
